,Lambda,Feature,Aggregation Type,Attack Mean,Benign Mean,Total Mean
45,3.0,Variance (JIT),SRC IP (JIT),0.00015372141081765583,0.0001707847009141518,0.00016225305586590381
46,3.0,TCP ECE,DST IP,0.00030522836800091994,0.0,0.00015261418400045997
47,3.0,TCP ECE,Channel,0.0003052270270552311,0.0,0.00015261351352761554
48,1.0,Weight,SRC IP,0.0004753457267368892,-0.0001707750341134167,0.00015228534631173626
49,0.1,Radius,Socket,0.000317633638140803,-1.333667013596594e-05,0.00015214848400241853
50,0.01,TCP ECE,DST IP,0.0002837059610524338,0.0,0.0001418529805262169
51,5.0,Radius,Socket,0.0002926949283814544,-1.4759723794219918e-05,0.00013896760229361726
52,0.01,TCP PSH,Socket,3.6776802608901576e-05,0.00023984664087646707,0.00013831172174268432
53,3.0,Weight (JIT),Channel (JIT),0.0003755337332139745,-9.899231255025005e-05,0.00013827071033186222
54,1.0,TCP ECE,Socket,0.0002690505174197344,0.0,0.0001345252587098672
55,1.0,TCP ECE,DST IP,0.0002664274666679109,0.0,0.00013321373333395544
56,5.0,TCP Flag count,DST IP,0.00010379689448566905,0.00015989474702096844,0.00013184582075331875
57,0.1,TCP CWR,Socket,0.00026330810232585837,0.0,0.00013165405116292918
58,1.0,Weight,Channel,0.0004161949109657765,-0.00015542895562374226,0.00013038297767101713
59,0.1,TCP CWR,Channel,0.0002569464061040545,0.0,0.00012847320305202725
60,0.1,TCP CWR,DST IP,0.0002550322995132403,0.0,0.00012751614975662015
61,3.0,Radius,Channel,0.00026030862990223335,-7.298817392312753e-06,0.0001265049062549603
62,0.1,Variance (JIT),Socket (JIT),7.260021113143535e-05,0.00017958361199041462,0.000126091911560925
63,3.0,Variance,Channel,2.7175416425916017e-05,0.00022405823675696762,0.00012561682659144183
64,5.0,TCP CWR,DST IP,0.0002464644683708784,0.0,0.0001232322341854392
65,0.1,TCP ECE,Channel,0.0002428107163199177,0.0,0.00012140535815995885
66,1.0,Magnitude,Channel,7.528826733526989e-05,0.00016288006836288042,0.00011908416784907515
